Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
MKC,0.0,0.0,0.0
MKC-V,0.0,0.0,0.0
MKSI,0.0,0.0,0.0
MLAB,0.0,0.0,0.0
MLCO,0.0,0.0,0.0
MLI,0.0,0.0,0.0
MLKN,0.0,0.0,0.0
MLM,0.0,0.0,0.0
MLR,0.0,0.0,0.0
MMLP,0.0,0.0,0.0
MMM,0.0,0.0,0.0
MNSO,0.0,0.0,0.0
MO,0.0,0.0,0.0
MODG,0.0,0.0,0.0
MOG-A,0.0,0.0,0.0
MOG-B,0.0,0.0,0.0
MOS,0.0,0.0,0.0
MOV,0.0,0.0,0.0
MPC,0.0,0.0,0.0
MPLX,0.0,0.0,0.0
MRK,0.0,0.0,0.0
MRO,0.0,0.0,0.0
MRVL,0.0,0.0,0.0
MSA,0.0,0.0,0.0
MSEX,0.0,0.0,0.0
MSFT,0.0,0.0,0.0
MSI,0.0,0.0,0.0
MSM,0.0,0.0,0.0
MT,0.0,0.0,0.0
MTBL,0.0,0.0,0.0
MTDR,0.0,0.0,0.0
MTN,0.0,0.0,0.0
MTRN,0.0,0.0,0.0
MTX,0.0,0.0,0.0
MU,0.0,0.0,0.0
MUR,0.0,0.0,0.0
MUSA,0.0055433785492911,0.0,0.0055433785492911
MWA,0.0,0.0,0.0
MYE,0.0,0.0,0.0
NAT,0.0,0.0,0.0
NATH,0.0,0.0,0.0
NATR,0.0,0.0,0.0
NBR,0.0,0.0,0.0
NC,0.0,0.0,0.0
NDSN,0.0,0.0,0.0
NEE,0.0,0.0,0.0
NEM,0.0,0.0,0.0
NEP,0.0,0.0,0.0
NEU,0.0,0.0,0.0
NEXA,0.0,0.0,0.0
NFE,0.0,0.0,0.0
NFG,0.0,0.0,0.0
NGG,0.0,0.0,0.0
NGL,0.0,0.0,0.0
NGL-PB,0.0,0.0,0.0
NGL-PC,0.0,0.0,0.0
NGVC,0.0,0.0,0.0
NI,0.0,0.0,0.0
NI-PB,0.0,0.0,0.0
NJR,0.0,0.0,0.0
NL,0.0,0.0,0.0
NMM,0.0,0.0,0.0
NOA,0.0,0.0,0.0
NOC,0.0,0.0,0.0
NOK,0.0,0.0,0.0
NOV,0.0,0.0,0.0
NPO,0.0,0.0,0.0
NRG,0.0,0.0,0.0
NS,0.0,0.0,0.0
NS-PA,0.0,0.0,0.0
NS-PB,0.0,0.0,0.0
NS-PC,0.0,0.0,0.0
NSC,0.0,0.0,0.0
NTAP,0.0,0.0,0.0
NTIC,0.0,0.0,0.0
NTR,0.0,0.0,0.0
NUE,0.0,0.0,0.0
NVDA,0.0,0.0,0.0
NVO,0.0,0.0,0.0
NVS,0.0,0.0,0.0
NVT,0.0,0.0,0.0
NWE,0.0,0.0,0.0
NWL,0.0,0.0,0.0
NWN,0.0,0.0,0.0
NX,0.0,0.0,0.0
NXPI,0.0,0.0,0.0
O,0.0,0.0,0.0
OC,0.0,0.0,0.0
ODC,0.0,0.0,0.0
ODP,0.0,0.0,0.0
OEC,0.0,0.0,0.0
OFLX,0.0,0.0,0.0
OGE,0.0,0.0,0.0
OGN,0.0,0.0,0.0
OGS,0.0,0.0,0.0
OI,0.0,0.0,0.0
OKE,0.0,0.0,0.0
OLN,0.0,0.0,0.0
OLP,0.0,0.0,0.0
OMC,0.0,0.0,0.0
OMI,0.0,0.0,0.0
ONEW,0.0,0.0,0.0
OPI,0.0,0.0,0.0
OR,0.0,0.0,0.0
ORA,0.0,0.0,0.0
ORAN,0.0,0.0,0.0
OSK,0.0,0.0,0.0
OSW,0.0,0.0,0.0
OTTR,0.0,0.0,0.0
OXM,0.0,0.0,0.0
OXY,0.0,0.0,0.0
PAA,0.0,0.0,0.0
PAAS,0.0,0.0,0.0
PAG,0.0,0.0,0.0
PAGP,0.0,0.0,0.0
PAHC,0.0,0.0,0.0
PANL,0.0,0.0,0.0
PARA,0.0,0.0,0.0
PARAA,0.0,0.0,0.0
PARAP,0.0,0.0,0.0
PATK,0.0,0.0,0.0
PAVS,0.0,0.0,0.0
PBA,0.0,0.0,0.0
PBF,0.0,0.0,0.0
PBI,0.0,0.0,0.0
PBR,0.0,0.0,0.0
PCH,0.0,0.0,0.0
PDCO,0.0,0.0,0.0
PECO,0.0,0.0,0.0
PEG,0.0,0.0,0.0
PEGY,0.0,0.0,0.0
PEP,0.0,0.0,0.0
PFE,0.0,0.0,0.0
PG,0.0,0.0,0.0
PH,0.0,0.0,0.0
PHG,0.0,0.0,0.0
PHI,0.0,0.0,0.0
PHM,0.0,0.0,0.0
PII,0.0,0.0,0.0
PINC,0.0,0.0,0.0
PKG,0.0,0.0,0.0
PKOH,0.0,0.0,0.0
PLAY,0.0,0.0,0.0
PLOW,0.0,0.0,0.0
PLPC,0.0,0.0,0.0
PM,0.0,0.0,0.0
PNM,0.0,0.0,0.0
PNR,0.0,0.0,0.0
PNW,0.0,0.0,0.0
POOL,0.0,0.0,0.0
POR,0.0,0.0,0.0
POWL,0.0,0.0,0.0
POWWP,0.0680700557823369,0.0731635712715069,0.0680700557823369
PPG,0.0,0.0,0.0
PPL,0.0,0.0,0.0
PRGO,0.0,0.0,0.0
PRMW,0.0,0.0,0.0
PRPH,0.0,0.0,0.0
PSHG,0.0,0.0,0.0
PSMT,0.0,0.0,0.0
PSO,0.0,0.0,0.0
PSX,0.0,0.0,0.0
