Ticker,Inventory,Working Capital,Total Assets,Current Assets,Current Liabilities,Cash And Cash Equivalents,Total Debt,Stockholders Equity,Invested Capital,Reconciled Cost Of Revenue,Operating Revenue,Ebitda,Ebit,Interest Expense,Gross Profit,Net Income,mean,count
WMS,359227666.6666667,444454333.3333333,2477826000.0,760362333.3333334,315908000.0,129789000.0,993100333.3333334,970312666.6666666,1673260000.0,1467104333.3333333,2141966666.6666667,360140333.3333333,222695666.66666666,50639666.666666664,602315000.0,100795666.66666667,0.10416666666666667,12.0
WMT,50730000000.0,-4443500000.0,248678000000.0,85568500000.0,90012000000.0,16250500000.0,60284500000.0,82089000000.0,123394000000.0,424657500000.0,565952500000.0,32689500000.0,21784500000.0,2154500000.0,141295000000.0,13591500000.0,0.18333333333333332,12.0
WNC,215080333.33333334,265180666.66666666,1157354666.6666667,556029333.3333334,290848666.6666667,115900000.0,428764333.3333333,376010333.3333333,800047666.6666666,1674881000.0,1929095333.3333333,83379666.66666667,35452666.666666664,22615666.666666668,226304000.0,5336666.666666667,0.07999999999999999,11.0
WNEB,,,2485820333.3333335,,,70567333.33333333,47445666.666666664,226157000.0,273602666.6666667,,83995333.33333333,,,10604333.333333334,,20267000.0,0.053333333333333344,12.0
WNNR,,255097.5,120489428.0,604526.0,349428.5,308060.0,240554.0,116034999.5,116155276.5,,0.0,-760153.5,-760153.5,,,939714.5,,
WNNR-UN,,255097.5,120489428.0,604526.0,349428.5,308060.0,240554.0,116034999.5,116155276.5,,0.0,-760153.5,-760153.5,,,939714.5,,
WNS,,287609333.3333333,1094323000.0,502277000.0,214667666.66666666,103571666.66666667,195987666.66666666,675068333.3333334,691791666.6666666,586714666.6666666,983567000.0,224400666.66666666,162043666.66666666,14982666.666666666,348137000.0,117162333.33333333,,
WNW,770869.3333333334,23030013.333333332,34582852.666666664,31410508.333333332,8380495.0,19126354.666666668,4152995.6666666665,18246745.666666668,22036833.0,12396694.0,15120780.666666666,-2098177.3333333335,-2359462.3333333335,,2724086.6666666665,-4790674.666666667,,
WOLF,174433333.33333334,1235133333.3333333,3531766666.6666665,1611300000.0,376166666.6666667,425766666.6666667,889866666.6666666,2212966666.6666665,3089400000.0,288300000.0,580833333.3333334,-126233333.33333333,-242166666.66666666,35133333.333333336,190800000.0,-305500000.0,0.002,1.0
WOOF,606893000.0,-40060000.0,6286821500.0,924163000.0,964223000.0,161502000.0,3025510000.0,2171431000.0,3826750000.0,3097001500.0,5363675500.0,402293500.0,228660000.0,148240000.0,2266674000.0,68967000.0,,
WOR,576331666.6666666,876141333.3333334,3115927666.6666665,1578941333.3333333,702800000.0,273998000.0,776165666.6666666,1233255333.3333333,1951509000.0,3225178666.6666665,3824255666.6666665,638415666.6666666,545362666.6666666,31099666.666666668,599077000.0,393992333.3333333,0.16697474999999998,12.0
WORX,385013.3333333333,-1794887.6666666667,9665783.666666666,1273931.3333333333,3068819.0,232320.66666666666,291762.6666666667,6305202.0,6596909.666666667,2974113.6666666665,4627945.0,-3891886.0,-3995358.6666666665,0.0,1653831.3333333333,-4354741.333333333,,
WOW,,-67933333.33333333,2037033333.3333333,172566666.66666666,240500000.0,78866666.66666667,1270100000.0,311166666.6666667,1561200000.0,328966666.6666667,686566666.6666666,212766666.66666666,6033333.333333333,87400000.0,350733333.3333333,260800000.0,,
WPC,,-574670333.3333334,16096767000.0,231657000.0,806327333.3333334,194028333.33333334,7121787333.333333,7817381333.333333,14939168666.666666,66712000.0,1302265333.3333333,1251885333.3333333,712029333.3333334,208692666.66666666,1207517333.3333333,488162000.0,1.0299543333333334,12.0
WPM,6414000.0,360023666.6666667,6337776333.333333,390549333.3333333,30525666.666666668,371605666.6666667,67826666.66666667,6227454333.333333,6292454333.333333,273983000.0,1120980666.6666667,892797333.3333334,647463000.0,4269666.666666667,603325666.6666666,643938333.3333334,0.13249999999999998,12.0
